n_options,rmse,mse
4,0.12630460820438932,0.01595285405366429
8,0.022877126073954278,0.0005233628974035987
12,0.008888118364297544,7.899864805776325e-05
16,0.004710290886871768,2.2186840238947224e-05
24,0.001982167625702544,3.928988496383261e-06
32,0.001087099800379344,1.1817859759848097e-06
